300.00 K,315.79 K,333.33 K,352.94 K,375.00 K,400.00 K
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
-1807.31689453125,-1630.407958984375,-1612.732666015625,-1523.8951416015625,-1375.7391357421875,-1199.6729736328125
